PROFILE_TEXT,OCCUPATIONAL CATEGORY,LABEL
high school graduate production helper production helper no experience,Production and Manufacturing,1
high school graduate cashier service crew computer literate food preparer,Warehouse and Logistics,0
4th year college level bottle sorter bottle sorter cashier,Warehouse and Logistics,0
2nd year college level service crew computer literate domestic chores production worker,Sales/Service/Retail,2
high school graduate bottle sorter computer literate quality analyst,Warehouse and Logistics,0
1st year college level service crew service crew housekeeper private,Sales/Service/Retail,2
grade xii for k to 12 production helper production helper no experience,Production and Manufacturing,1
2nd year college level service crew log sorter bagger service crew log sorter bagger production helper,Warehouse and Logistics,0
high school graduate sales associate professional merchandiser bagger computer literate painter artist no experience,Production and Manufacturing,1
high school graduate production worker production worker no experience,Production and Manufacturing,1
high school graduate warehouse helper warehouse helper no experience,Warehouse and Logistics,0
college graduate office clerk customer service assistant driving plumbing handicraft worker gov,Warehouse and Logistics,0
high school graduate production worker production worker building painter,Sales/Service/Retail,2
high school graduate warehouse helper domestic chores no experience,Warehouse and Logistics,0
high school graduate service crew domestic chores no experience,Sales/Service/Retail,2
college graduate service crew salesman bagger production worker computer literate domestic chores sales clerk,Warehouse and Logistics,0
2nd year college level customer service assistant bottle sorter computer literate domestic chores cashier,Warehouse and Logistics,0
vocational graduate production worker production worker no experience,Production and Manufacturing,1
1st year college level bottle sorter bottle sorter data encoder cook general clicker cutter machine,Warehouse and Logistics,0
high school graduate bottle sorter bottle sorter clicker cutter machine,Warehouse and Logistics,0
college graduate administrative officer computer literate painter artist engine cadet,Warehouse and Logistics,0
grade xi for k to 12 mail sorter mail sorter telemarketer,Warehouse and Logistics,0
3rd year college level warehouse helper warehouse helper no experience,Warehouse and Logistics,0
vocational undergraduate warehouse helper warehouse helper production worker,Warehouse and Logistics,0
college graduate merchandiser computer literate no experience,Sales/Service/Retail,2
high school graduate bottle sorter sewing dresses scanner data,Warehouse and Logistics,0
high school graduate warehouse helper warehouse helper production worker,Warehouse and Logistics,0
high school graduate service crew service crew service crew,Sales/Service/Retail,2
college graduate bagger computer literate no experience,Clerical and Administrative,3
college graduate sales associate professional computer literate no experience,Sales/Service/Retail,2
1st year college level bottle sorter photography bottle sorter,Warehouse and Logistics,0
high school graduate bottle sorter bottle sorter no experience,Warehouse and Logistics,0
2nd year college level production worker computer literate driving stock clerk,Sales/Service/Retail,2
4th year high school grade x for k to 12 production helper production helper no experience,Production and Manufacturing,1
college graduate marketing staff accounting clerk storekeeper computer literate domestic chores no experience,Production and Manufacturing,1
high school graduate production worker production worker domestic helper,Production and Manufacturing,1
high school graduate mail sorter mail sorter checker,Warehouse and Logistics,0
high school graduate service crew production worker computer literate no experience,Warehouse and Logistics,0
college graduate service crew computer literate domestic chores operations officer,Sales/Service/Retail,2
college graduate safety officer human resource development clerk computer literate domestic chores no experience,Production and Manufacturing,1
high school graduate bottle sorter bottle sorter service crew service crew,Warehouse and Logistics,0
4th year college level bottle sorter domestic chores gardening photography sales associate professional,Warehouse and Logistics,0
1st year college level storeroom clerk kitchen crew production worker plumbing dishwasher,Warehouse and Logistics,0
college graduate bottle sorter computer literate no experience,Warehouse and Logistics,0
1st year college level warehouse helper computer literate domestic chores call center agent,Warehouse and Logistics,0
4th year college level bottle sorter bottle sorter no experience,Warehouse and Logistics,0
college graduate inventory clerk stock clerk computer literate driving painter artist administration manager,Warehouse and Logistics,0
college graduate office clerk warehouse helper sewing dresses domestic chores gardening baking cooking no experience,Warehouse and Logistics,0
high school graduate enumerator enumerator no experience,Clerical and Administrative,3
high school graduate bottle sorter computer literate merchandiser,Warehouse and Logistics,0
3rd year college level service crew bottle sorter computer literate no experience,Warehouse and Logistics,0
high school graduate mail sorter mail sorter no experience,Warehouse and Logistics,0
